"","CAP1","CAP2","ID2","ID","Lat","TL","Sex","SpeciesExt","mtDNA","Species"
"A590",0.0764137708432492,-0.628227882837156,"A590","A590",20.82,41.5,"F","A.inodorus","AI","A.inodorus"
"A595",0.163667015346153,-0.936014309000532,"A595","A595",20.82,45,"F","A.inodorus","AI","A.inodorus"
"A60",-0.0277780052940084,-1.42114674223055,"A60","A60",18.5,54,"M","A.coronus","AI","A.inodorus"
"A601",-0.552032278681562,0.953240063576433,"A601","A601",20.82,41.5,"F","A.inodorus","AI","A.inodorus"
"A604",0.356271071443291,0.0192922439117262,"A604","A604",20.82,43.5,"M","A.inodorus","AI","A.inodorus"
"A605",-0.414080255790225,0.430708813288347,"A605","A605",20.82,47.5,"F","A.inodorus","AI","A.inodorus"
"A608",0.175892019647308,-0.988410079648074,"A608","A608",20.82,65.5,"F","A.inodorus","AI","A.inodorus"
"A61",-0.0943909764234679,-1.43396227177718,"A61","A61",18.5,47,"F","A.inodorus","AI","A.inodorus"
"A611",-0.0756171643127617,0.593263783047843,"A611","A611",20.82,45.5,"F","A.inodorus","AI","A.inodorus"
"A613",0.051226722817216,-0.464275858617965,"A613","A613",20.82,44.5,"F","A.inodorus","AI","Hybrid"
"A615",0.011399474436188,-0.221504534570401,"A615","A615",20.82,38,"F","A.inodorus","AI","A.inodorus"
"A62",-0.440607378343173,1.05843863396409,"A62","A62",18.5,42.5,"F","A.inodorus","AI","A.inodorus"
"A624",0.14467334023241,-0.755038203186295,"A624","A624",20.82,44,"M","A.inodorus","AI","A.inodorus"
"A63",0.574054526453776,-0.105367794865653,"A63","A63",18.5,44,"M","A.coronus","AC","A.coronus"
"A632",-0.115244384049115,-0.750519716325386,"A632","A632",20.82,41,"M","A.inodorus","AI","A.inodorus"
"A634",0.578946335385196,0.518762094910396,"A634","A634",18.5,60,"F","A.coronus","AC","A.coronus"
"A638",0.573803682729831,-0.0828790913881816,"A638","A638",18.5,54,"F","A.coronus","AC","A.coronus"
"A639",0.247053455193499,1.52142402640615,"A639","A639",18.5,56,"M","A.coronus","AC","A.coronus"
"A64",0.697303940763249,-1.24797400079946,"A64","A64",18.5,62,"M","A.coronus","AC","A.coronus"
"A640",-0.393503588933032,1.63734098433348,"A640","A640",18.5,49.5,"F","A.inodorus","AI","A.inodorus"
"A641",-0.0557494516755677,1.56764461796979,"A641","A641",18.5,44.5,"F","A.inodorus","AI","A.inodorus"
"A642",-0.129606439388024,-1.16648799772304,"A642","A642",18.5,51,"F","A.inodorus","AI","A.inodorus"
"A643",0.175849326299823,-0.616869322202805,"A643","A643",18.5,47,"M","A.inodorus","AI","A.inodorus"
"A66",-0.0494217343320283,0.112715828555995,"A66","A66",18.5,49.5,"F","A.inodorus","AI","A.inodorus"
