"A2" "A6" "A8" "B6" "B7" "B9" "C15" "C17" "C3" "C5" "D1" "D10" "D12" "D14" "D16" "D2" "D5" "D6" "D7" "A12" "A13" "A15" "A16" "B10" "B12" "B16" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "D4" "D11" "D13" "D15" "D17"
"A227" -0.00416419570976673 0.00293573944179512 0.00261407926118631 -0.00469615239030229 0.00276151071766377 0.00598745118176611 -0.000912925035274309 0.00104753652621004 0.0158982246984535 -0.0129720227103837 -0.606236825982461 0.00220673796271378 -0.000923974108575615 -0.0011094838358756 0.00017291570589891 -0.0376884030657973 -0.0141742516613871 0.00342656754946829 0.00463920055082221 0.00136033038765226 0.000724475911175801 -0.000729278170702311 -1.78977279527182e-05 0.00177436040456526 -0.000380994170923486 -0.00101027287675198 -0.00866217079648746 -0.00357688801910246 0.00211532802268835 0.00160743550442196 0.0013767030456607 0.000147738433729212 -0.000565746663645892 0.00109730711451089 0.0019565187806451 0.0158200810728439 -0.00291889273495794 -0.000578017001118081 -0.000163423150499251 0.00137054525035523
"A230" -0.00167215660790388 0.00186090873258396 0.000241594843816622 -0.00866517683224007 0.00469252793828512 0.00205393401848575 -0.00355801418903164 0.00135637560416253 0.00407845401969099 -0.0124283173750049 -0.593278796645525 -0.00181825263535426 0.00266119031761786 -0.00156093550206762 0.000255681946376168 -0.0198574282484344 -0.0135290257947407 0.00273795177455158 0.00644540991873519 0.00112532939238703 0.000836957916257751 0.00109982776539995 0.000157876101534351 -0.00124436036859518 -0.000762394763691483 -0.000373319364819457 0.00181302670684675 0.00119943587909772 -0.00904519340679579 1.47003908712175e-05 0.00566147810341746 0.00262347070292647 -0.00275773140494878 0.000547782453822608 -6.45416537719354e-05 0.00235881198054494 -0.000334685818565492 0.000985390145224849 -0.00135115937440212 -0.000877631765377791
"A231" -0.0172304487916092 -0.00179899085436443 3.94058980557246e-06 -0.00145771078879388 0.00182216045373272 0.00520556480569618 -0.00199206438529117 0.00116568050568026 0.0180767331815604 -0.0162297934282042 -0.66397299482866 -0.0011474915551124 0.00272527949505106 -0.00131398348294359 0.000345827700177777 -0.0523830817129429 -0.00495416512774311 0.00177354953058175 0.000676011468798522 0.000269765278656572 0.000141173362054192 0.000497635825721037 -0.000217676240949291 0.000944442686191466 -0.00285810561606675 -0.000442931458910379 -0.00827576355039396 -0.0018495261923739 0.00313253532793261 0.000636547922104154 0.00289160126979799 0.000646086339479438 -0.00012037228850618 0.00134490860315442 -0.00119771785310309 0.0175739908971344 -0.0038477004915162 0.000864422810925445 -0.000949854701752854 0.000349129549699373
"A238" -0.0141509105068803 4.64943469104381e-05 0.00538899522473051 -0.00492060864681907 0.00363215086181622 0.00362295264401761 -0.0022469950839046 0.000358831241277975 0.00600758867347519 -0.0111903867414803 -0.641317620095252 -0.000765909374306275 -0.00109553184992425 -0.00066254965091013 0.00151746013719863 -0.0398375918098545 -0.00329007802500439 0.00579691852280564 0.00646146777281227 0.000853869806786549 -0.000167594312806667 0.000108039185533368 -0.000460440496504253 0.00227037634986123 -0.00165675169767731 -0.00112459024077598 -0.0088263445317287 -5.61047369873328e-05 -0.00142576017245548 0.00392361741812898 0.00134646221638957 -0.00153273838199059 -0.000962384532322619 0.00262397202335069 0.00189702256223455 0.0119053545506791 -0.00534616114001324 0.000700087746076895 0.000209054429230759 -0.000254418792948566
"A243" -0.0185009940102901 -0.00102942705338161 0.00296703943262314 -0.00467393433528938 0.00153086146495024 0.00281477438839822 -0.00208544868180716 0.00204091891380275 0.0112112752984935 -0.017331221567139 -0.620743866576707 -0.00117719068038328 0.000712066673906614 -0.000223126401304504 0.00151862515295199 -0.0604464235553274 -0.00899713803832932 0.00515002270873527 0.00470694822666517 0.000937775961320063 0.00154593039400048 -7.21534619092706e-05 0.000353206053836102 0.000349361651583248 -0.00224258401433566 -0.00054906359894961 -0.0105715385258231 0.00132491661745096 0.00454570071347226 0.00430365019469581 0.00137422126329695 -0.00179620052395513 -0.000654697431969317 -0.000260637451114762 4.79140756962787e-05 0.0164690624579719 -0.00339847246680019 0.000926119585302199 -0.000213562321378929 -0.000548629944566301
"A244" -0.0109812280519298 -0.000648217780135333 0.0030515327331788 -0.00263086932419961 0.00150281260881645 0.00412238410164932 -0.00202475937746624 -0.000431925636627655 0.0146047030937474 -0.0122530780308969 -0.633399164408299 0.00274595775488304 -0.000890911495371286 -0.00290220748650462 0.00299306995625076 -0.0477999503572291 -0.00657787691271153 0.0100125320771394 0.00433311448720131 0.00082364401002689 0.0011330452878019 0.000579279368151085 -0.000842167980474846 0.00267381621466337 -0.000881388198285156 0.000274654373881202 -0.00628672103730626 -0.0041426083443548 0.00118895725495585 0.00388525063113625 0.00346086585115085 -0.000672674843542196 -0.00339054405326985 0.00108865913672072 0.00263911962505443 0.00706085985083358 -0.00252825778515503 -0.000441122602224025 0.000705238192253666 5.47925190521614e-05
"A247" -0.0189376327739839 0.000367891375832739 0.00366364204630843 -0.00408655347396561 0.0010288273983325 0.00291345445354282 -0.00170365317853496 0.000861747498886076 0.0102630165558494 -0.00967531854488394 -0.653638208148199 -0.000780778142695952 0.000632563331094107 -0.00183219040736355 0.00250529423865844 -0.0488431743289565 -0.00378102798888426 0.0113562494204645 0.00657306436464447 -0.000614998843823113 0.000271650945136124 -0.000467947527786219 -0.000936912328758311 0.00187562239211247 -0.000400303436810449 -0.000230135192809734 -0.00946945823449893 -0.00371341545942957 -0.00062910091519096 0.00330889042886317 0.00312071457166392 -0.00182855613346126 -0.00351882008023822 0.000718421541341571 0.0028683866363286 0.00652304968230093 -0.00394373972164653 -0.000314439061664666 -0.000343842895319698 0.000901408856081937
"A250" -0.00438953050383349 -0.000400686569430552 -0.000694567378620684 -0.00448005139143316 -0.000319032875189575 0.0018331635648366 -0.000171765187425234 -0.000630544472033099 0.00775397146351525 -0.00996562177520687 -0.577338506277269 0.00373051218598182 -0.000144593161660297 -0.00220823275653373 0.00165098206431452 -0.0344571672150081 -0.0157814379761185 0.00652655766124985 0.00749866291696933 0.000978202515230619 0.00148719980895069 0.000829557851193213 0.000409958293277498 -0.000682822872726097 -0.0012976327109006 0.000651558964102519 -0.00546018459174538 -0.00102371174531589 0.00196379802886142 -0.000472103951240199 0.0017961698072776 0.00116120120809625 -0.00321571845024769 -0.000746608761909208 0.00187940420169435 0.00139758162946993 -0.002400028368341 -0.00154362601120061 -0.000114374038271148 0.00120742485905834
"A253" -0.01000950997475 0.000636686713498099 0.00440670510014608 -0.00694332435399945 -0.0025885023083438 0.00177039252013603 -0.00316180176838312 0.00184815083657892 0.0135424882901369 -0.017804864883216 -0.596651526299625 0.00135424728538327 6.37022229886173e-05 -0.00198846312761484 0.00120489216459604 -0.0465518859730596 -0.0128218187554903 0.00363740042712862 0.00204778860528251 0.00278840708519718 0.00176281056595389 0.000979419842896234 0.00026128598810263 1.18081033523361e-05 -0.000551170287220131 0.000205535540093206 -0.00983865067736526 -0.000377137495923642 0.00560842040719126 -6.13996071401877e-06 0.000332352476541577 -0.00123269715623161 -0.00023740574305447 0.000817930683174664 -0.000191298856445581 0.017035696625752 -0.00348265269247287 0.000558565425082978 4.78812102383608e-06 -0.00129485402091575
"A254" -0.00599147414391984 0.00112206143954208 0.00222905477301154 -0.00620216730218264 0.000114852800437262 -0.00170830363307296 -0.00224449718115478 0.00126429327940893 -0.00132269180956871 -0.0128355622667637 -0.596850137555065 6.643864040797e-06 0.0010519025007016 -0.00208800725624773 0.00164659042526219 -0.0379197639104121 -0.0148325084250211 0.00600500850931447 0.00323542742215068 0.00186364275812314 0.00198500603829558 0.0014457154930368 0.000711463189096387 0.000331169894750605 -0.00135501609213014 0.000837977667037851 -0.00405135228028948 0.00154475239041007 -0.00112152705692583 0.00245333008310402 0.00264329920233705 -0.000490197849209748 -0.000798719049283414 -0.00127655488542186 0.00105784912847556 0.00808096941006977 -0.00133344885693335 -0.000740067098617851 -0.000538783112673745 -0.000648610924481545
