ID,Lat,TL,Sex,SpeciesExt,mtDNA,Species
K69,,53,U,A.inodorus,AI,A.inodorus
K7,20.82,48.5,M,A.coronus,AC,A.coronus
K70,,52,U,A.inodorus,AI,A.inodorus
K71,,47,U,A.inodorus,AI,A.inodorus
K72,,47,U,A.inodorus,AI,A.inodorus
K73,,52.5,U,A.inodorus,AI,A.inodorus
K74,,48.5,U,A.inodorus,AI,A.inodorus
K75,,62,U,A.inodorus,AI,A.inodorus
K76,,43.5,U,A.inodorus,AI,A.inodorus
K77,,43.5,U,A.inodorus,AI,A.inodorus
K8,20.82,44,M,A.inodorus,AI,A.inodorus
K80,,51,,A.coronus,AC,A.coronus
K81,,68,,A.inodorus,AI,Hybrid
K82,,60,,A.inodorus,AI,A.inodorus
K83,20.82,37.9,J,A.inodorus,AI,A.inodorus
K84,20.82,56.7,M,A.inodorus,AI,A.inodorus
K88,20.82,55,M,A.inodorus,AI,A.inodorus
K89,20.82,53.4,J,A.coronus,AC,A.coronus
K9,20.82,48.5,F,A.inodorus,AI,A.inodorus
K90,20.82,53,M,A.inodorus,AI,A.inodorus
K92,20.82,60.1,F,A.inodorus,AI,Hybrid
K93,20.82,49.7,F,HYBRID?,AI,A.inodorus
K95,21.88,34.2,F,A.inodorus,AI,A.inodorus
K96,20.82,55,M,A.inodorus,AI,A.inodorus
K97,20.82,50.9,F,A.inodorus,AI,A.inodorus
