"A2" "A6" "A8" "A12" "A13" "A15" "A16" "B6" "B7" "B9" "B10" "B12" "B16" "C3" "C5" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "C15" "C17" "D1" "D2" "D4" "D5" "D6" "D7" "D10" "D11" "D12" "D13" "D14" "D15" "D16" "D17"
"A227" -0.0273431778358113 -0.00601651396349937 0.000802420488581164 0.00136033038765226 0.000724475911175801 -0.000729278170702311 -1.78977279527182e-05 0.000919021278818615 0.000202742380067066 0.00399304964124789 0.00177436040456526 -0.000380994170923486 -0.00101027287675198 0.00784833386129394 -0.00756219574239933 -0.00866217079648746 -0.00357688801910246 0.00211532802268835 0.00160743550442196 0.0013767030456607 0.000147738433729212 -0.000565746663645892 0.00109730711451089 0.0019565187806451 0.000541148962880709 0.000137260820072682 -0.572519931758119 -0.0485204334357883 0.0158200810728439 -0.00729880321372711 0.00786810373106508 -0.000756088648820715 0.00421224534286059 -0.00291889273495794 -0.00385691132908674 -0.000578017001118081 0.00149366774732322 -0.000163423150499251 -0.00125983021018169 0.00137054525035523
"A230" -0.016548219763425 -0.00388456733350056 -0.000921111532631461 0.00112532939238703 0.000836957916257751 0.00109982776539995 0.000157876101534351 -0.00506140865653561 0.00305033333355888 0.000773944970093462 -0.00124436036859518 -0.000762394763691483 -0.000373319364819457 -0.00108789383102336 -0.00895633887316425 0.00181302670684675 0.00119943587909772 -0.00904519340679579 1.47003908712175e-05 0.00566147810341746 0.00262347070292647 -0.00275773140494878 0.000547782453822608 -6.45416537719354e-05 -0.00262480251857394 0.000772168807686317 -0.571639595874679 -0.0268093283366375 0.00235881198054494 -0.00911642455221267 0.00558848992094952 0.00298276162642704 -0.00053113595854362 -0.000334685818565492 0.000778857474603257 0.000985390145224849 0.000109743872224159 -0.00135115937440212 -0.000663841552003921 -0.000877631765377791
"A231" -0.0331443768184458 -0.0079453140878502 -0.00123988483616214 0.000269765278656572 0.000141173362054192 0.000497635825721037 -0.000217676240949291 0.00239748307358764 6.53941323976776e-05 0.00383627419578815 0.000944442686191466 -0.00285810561606675 -0.000442931458910379 0.0125499424575404 -0.0125155838680955 -0.00827576355039396 -0.0018495261923739 0.00313253532793261 0.000636547922104154 0.00289160126979799 0.000646086339479438 -0.00012037228850618 0.00134490860315442 -0.00119771785310309 -0.000993744923871311 0.000540715095496401 -0.640824082376127 -0.0598199980863695 0.0175739908971344 -0.000233707984573576 0.00482296243137955 -0.00302821693692647 0.000229423959615256 -0.0038477004915162 0.000711621104849393 0.000864422810925445 0.000473254917461571 -0.000949854701752854 -0.000637848600414876 0.000349129549699373
"A238" -0.0317946133192426 -0.00676790749891074 0.00400997138289674 0.000853869806786549 -0.000167594312806667 0.000108039185533368 -0.000460440496504253 -0.000646371973309131 0.00168443167946649 0.00210482609825001 0.00227037634986123 -0.00165675169767731 -0.00112459024077598 -0.000119940172720894 -0.00707245875092505 -0.0088263445317287 -5.61047369873328e-05 -0.00142576017245548 0.00392361741812898 0.00134646221638957 -0.00153273838199059 -0.000962384532322619 0.00262397202335069 0.00189702256223455 -0.0011401626375478 -0.000334065191751955 -0.615652521506574 -0.0480828686586536 0.0119053545506791 0.00194347228590096 0.0091777893476032 0.00235460584472586 0.000760670870283088 -0.00534616114001324 -0.00332806615210436 0.000700087746076895 0.00131895379301733 0.000209054429230759 0.000426862499585035 -0.000254418792948566
"A243" -0.0415069986577821 -0.00991487259744256 0.00116890050160459 0.000937775961320063 0.00154593039400048 -7.21534619092706e-05 0.000353206053836102 0.000899335052718686 -0.00100881158654499 0.000835256441465964 0.000349361651583248 -0.00224258401433566 -0.00054906359894961 0.00322145827355157 -0.0119617664421993 -0.0105715385258231 0.00132491661745096 0.00454570071347226 0.00430365019469581 0.00137422126329695 -0.00179620052395513 -0.000654697431969317 -0.000260637451114762 4.79140756962787e-05 -0.000642225982145832 0.00113743630995 -0.587278590965979 -0.0711976178777811 0.0164690624579719 -0.00217299890744292 0.00955841309793209 -0.000648077620741619 0.000813350226777359 -0.00339847246680019 -0.00219898295540666 0.000926119585302199 0.00236059867754208 -0.000213562321378929 9.65713705734768e-05 -0.000548629944566301
"A244" -0.0350250975707372 -0.00993451049159752 0.00117227475264062 0.00082364401002689 0.0011330452878019 0.000579279368151085 -0.000842167980474846 0.00319382575048551 -0.00115143215928759 0.00205356459320132 0.00267381621466337 -0.000881388198285156 0.000274654373881202 0.0062544431954998 -0.00664139184768925 -0.00628672103730626 -0.0041426083443548 0.00118895725495585 0.00388525063113625 0.00346086585115085 -0.000672674843542196 -0.00339054405326985 0.00108865913672072 0.00263911962505443 -0.000516428886842756 -0.00137616685418805 -0.598424177115885 -0.0590361609649062 0.00706085985083358 0.000554118118816356 0.0146197972207361 -0.00126349147362233 0.0048262974999607 -0.00252825778515503 -0.00393328667187163 -0.000441122602224025 -0.000201923381544654 0.000705238192253666 0.00150686337165969 5.47925190521614e-05
"A247" -0.0431544797713439 -0.00898520919686299 0.00177086422418364 -0.000614998843823113 0.000271650945136124 -0.000467947527786219 -0.000936912328758311 0.00178004588183235 -0.001644512655873 0.000829751351508857 0.00187562239211247 -0.000400303436810449 -0.000230135192809734 0.00185268284538421 -0.00402326051863164 -0.00946945823449893 -0.00371341545942957 -0.00062910091519096 0.00330889042886317 0.00312071457166392 -0.00182855613346126 -0.00351882008023822 0.000718421541341571 0.0028683866363286 -0.000184471389417774 -8.92868209589259e-05 -0.61841160224217 -0.060160220984171 0.00652304968230093 0.00340227635941721 0.0159966603564611 0.000936195051584696 0.00131452807536788 -0.00394373972164653 -0.00243169943660408 -0.000314439061664666 0.000887520201948648 -0.000343842895319698 0.00100839552036528 0.000901408856081937
"A250" -0.0237630081017215 -0.00788316702758714 -0.00220878963632051 0.000978202515230619 0.00148719980895069 0.000829557851193213 0.000409958293277498 0.00021322809320521 -0.00245770491855398 0.00016620108320943 -0.000682822872726097 -0.0012976327109006 0.000651558964102519 0.00102570449514308 -0.00544397535420503 -0.00546018459174538 -0.00102371174531589 0.00196379802886142 -0.000472103951240199 0.0017961698072776 0.00116120120809625 -0.00321571845024769 -0.000746608761909208 0.00187940420169435 0.00104358024386851 -0.0013913719279091 -0.549157221552445 -0.0435108045391796 0.00139758162946993 -0.0100347944974774 0.0102388864100472 0.00298916746652151 0.00540675716043289 -0.002400028368341 -0.00259600337581885 -0.00154362601120061 -3.2464269083971e-05 -0.000114374038271148 0.000453463089679987 0.00120742485905834
"A253" -0.0273072578300071 -0.006044099409856 0.00305472094148552 0.00278840708519718 0.00176281056595389 0.000979419842896234 0.00026128598810263 -0.00275289624271519 -0.00449803091849059 0.000282033161540346 1.18081033523361e-05 -0.000551170287220131 0.000205535540093206 0.007535107068376 -0.01376768057875 -0.00983865067736526 -0.000377137495923642 0.00560842040719126 -6.13996071401877e-06 0.000332352476541577 -0.00123269715623161 -0.00023740574305447 0.000817930683174664 -0.000191298856445581 -0.00207667191901371 0.0011688406081182 -0.571489664938176 -0.0546354907267842 0.017035696625752 -0.00769088707813212 0.00695197966712623 -0.00197854661833161 0.00285089458400029 -0.00348265269247287 -0.0021250568967958 0.000558565425082978 -4.58126923918448e-05 4.78812102383608e-06 0.000135678794386634 -0.00129485402091575
"A254" -0.0277866364415438 -0.00729572907588408 0.000525554733099238 0.00186364275812314 0.00198500603829558 0.0014457154930368 0.000711463189096387 -0.000922227881964471 -0.0022911532483477 -0.00358363642490352 0.000331169894750605 -0.00135501609213014 0.000837977667037851 -0.0088919921489874 -0.00774871004313667 -0.00405135228028948 0.00154475239041007 -0.00112152705692583 0.00245333008310402 0.00264329920233705 -0.000490197849209748 -0.000798719049283414 -0.00127655488542186 0.00105784912847556 -0.000877233570949313 0.000408362391548427 -0.565146192239638 -0.0481051059001051 0.00808096941006977 -0.00836753451154981 0.0101813783517115 -0.00183775495960311 0.00189241946029825 -0.00133344885693335 -0.00170593399022677 -0.000740067098617851 0.000359732292133251 -0.000538783112673745 0.000299381578798337 -0.000648610924481545
"A259" -0.018392134507164 -0.00727568288622755 0.000818291626297273 0.000555762825336322 0.00102602334131513 0.000622117511684342 -0.000874304904453898 -0.00501812135402266 0.00072865135963126 0.00113189442008487 -0.000758265301523225 -0.00145067292374445 -4.69412427137922e-05 0.00301948091491791 -0.011861254569934 -0.00372740992797082 -0.000807844382551016 0.000667696595853404 0.00188894471389214 0.00134057064388488 -0.000338415098104239 -0.00200941964901231 0.000829025742441533 0.00116513597064921 -0.000437503023523602 0.000355004112521283 -0.602794400904018 -0.0427860190896271 0.00554295720332383 -0.00822959816803344 0.00919957328360687 -0.000614970286309631 0.00303499408392033 -0.00205367310111556 -0.00119386077484854 -0.00247565022722749 -0.000562583325029871 0.00088746484025453 0.000810046207847795 -0.000778771408679909
"A262" -0.0243396871557058 -0.0103514769325519 -0.00404828325652201 0.00138669190218738 -0.000455197092477653 0.000714616073738462 0.000676678350145551 0.0013085674179047 0.00208968516091751 0.000129104368742042 -0.00256006164476186 -0.00127328869321109 -0.000461955609793593 -0.00319437595684716 -0.00174233942425699 -0.00259883298955011 -0.00469211771543034 -0.000307267808204232 0.00159381194594637 0.00268032653308381 0.00452033014085912 -0.00321918116438964 -0.0015017092951724 -0.00106717680562925 -0.000717000412470408 0.000721514282583567 -0.571608637639297 -0.0395826568688189 -0.00155836814628456 -0.00619797326085507 0.0139169926488466 0.00373870827274326 -0.000724201146658943 -0.00194299700841219 0.000650985610234745 0.0022788173118666 0.000507666867170735 -0.000513793641031596 0.000790768737002187 -8.82287538926835e-05
"A264" -0.0343886577893338 -0.00653980874198413 -0.000617037848557764 0.000313549721456175 -7.10051779285549e-05 0.000518014230426606 -0.00135416093231011 0.000319193287073899 -0.000635617280080384 -0.000799198660443303 -0.00221794948926807 -0.00157537632941101 -9.92485301801996e-07 -0.000406010998887891 -0.00429612758629598 -0.005860412458712 -0.00230847422415322 0.00176155239002473 0.00248158885067826 0.00365318918084337 -0.000666628057609785 -0.00526382187257197 0.000122935047132099 0.000482936059717838 -0.000402601800228627 0.000262818366006928 -0.593964611954557 -0.0570492610090562 0.00902012246407036 -0.00221641365490879 0.0121066671259031 0.00517287416263423 0.00303818513160804 -0.0033520048372448 -0.000615552620957859 0.000726405724846667 -0.00320286281343361 0.000125704168343713 0.00148605223731776 0.000917556138184542
"A265" -0.0170067348765601 -0.00591178667440375 -0.00305201216327056 0.00056697234692942 0.000499458564817522 0.000222437477353402 0.000694857473992962 0.000100751236869964 0.000347789437527824 0.00141263724162133 0.000830601987800621 0.00142788103021375 0.000228467977888833 -0.00408483732337415 0.00141638563870693 -0.000570030539121815 -0.00277741173375111 -0.00456896860008328 -0.00147342563573019 0.0022735111353135 0.00364904072168998 -0.00137912989638239 -0.000253742278745002 0.00051856620066746 -0.000502699727201564 0.0010312151453983 -0.578291368097219 -0.0362302385514022 0.000395954492668344 -0.00736552261805994 0.00924389534588699 0.00400831891896064 0.00231593666787444 -0.000963465145042776 -0.000710476614617851 -1.51361779865333e-05 -0.000770225507175322 -0.00122888542729981 0.000515106653005224 0.000829834889296963
"A267" -0.0352090505220029 -0.0114646242887906 -0.000191067468617508 0.00274894258554017 0.000922970858399228 0.000314443614890928 0.000685169545356981 -0.00534187861565117 -0.00410435214282515 1.21150299003158e-05 -0.00264970927654117 -0.000502195531847353 -6.31294924834969e-05 0.00983544787825552 -0.0139722734136383 -0.00957981342305183 0.00143376473192513 0.00444111330978385 -0.00204418055309427 -0.000855672149890455 0.00263817724836087 -0.000257419275100491 -0.00214795078495629 -0.00165629794551885 0.000283826915935949 0.000304712959535382 -0.582564233200759 -0.0689524481520347 0.0185649717133698 -0.00735852876392479 0.00547048060810171 -0.00141688578516339 0.00144354684912175 -0.00193702281078171 -0.000824908336841532 0.0018320967691436 -0.000324630721748683 -0.00303661217039013 0.000251805402194452 0.000814387947643551
"A269" -0.0428537180974151 -0.0100178276499951 -0.00097968105949286 0.000994429134286835 0.00136458944871741 0.00101842910252942 -0.000217860956874324 -0.00170198203774882 -9.06247916182817e-05 0.000563535355039114 -0.00141019118302767 -0.00176479431682977 -5.49942169621927e-05 0.00520264197849745 -0.0112985198262942 -0.00529741169837853 -0.00603994852018295 0.00173788345490199 0.00358871397426266 0.000112210209067445 0.000835251754883915 -0.00283520952468732 0.00042535630882405 0.00129851140798294 -0.00076536559914974 -2.49123998459072e-05 -0.614352442053224 -0.0576580045695986 0.0143756414644558 -0.00212617638348138 0.0115376656978082 -0.0031543753266959 0.00202520660309497 -0.00307244843272213 -0.00365168944059889 0.000671767245614449 0.0017653427899613 0.000265249352675247 0.000678584439445841 -0.000473992281017805
"A270" -0.0236574940317947 -0.00745618740221626 -0.00145947034715239 3.29015980861641e-05 0.00117797526777764 0.000192016600021997 -0.000394915839470296 0.00121603773920029 -0.00104797710342113 0.000407549193380527 0.00179246630947885 0.00101091784629807 -0.000619129440402956 -0.00414492950133722 0.000206514876577458 -0.000876351673761608 -0.00224535435288262 -0.00266576192208694 -0.00122470463378929 0.00384103836929744 0.00112717441220776 -0.00115721267451358 -0.00209538682930566 0.002104150344795 0.00022725133548853 0.000548947806661285 -0.591705487463456 -0.04505832547337 -0.00154502363791924 -0.0106740606595827 0.0126815336973189 0.00365554713405694 0.000631027746722442 -0.00149096639392368 -0.00139614385810949 -0.000635988627423538 0.000702608302704311 -0.00192200783223512 0.000500880723468767 0.000320273470550763
"A274" -0.0204250731568303 -0.00730139277105067 -0.0019223103482041 0.000300628167737627 0.000834473529030205 0.000316765909987211 -0.000323320808350458 -0.00105466969925037 0.000661638177961023 0.00176860140880683 -0.000760332450225157 -0.00170412413046466 0.000181719000993617 -0.00238769531106015 -0.00584479811850047 -0.00302878250599166 -0.00113846938761873 0.00101303392806602 0.00148364587792158 0.00155848303173544 4.38418078425389e-05 -0.00180287303556405 0.000894910963860296 -0.000514867255096477 -0.000204266039705012 -0.000736784762627855 -0.576092452886088 -0.0419270752623523 0.00647477971256444 -0.0101588671121435 0.00456092692461136 0.00295907485166554 0.0028562045210502 -0.00244953483006831 -0.00138066343432642 -0.00138246564541608 0.000244074648037106 0.00131987743987014 -0.000584760724710774 -0.000969504269239905
"A275" -0.0298542531943314 -0.00723728810479264 0.00124845753992219 -0.000409680677834546 0.00133456058577591 -0.000351234966690628 -0.00149860764338879 0.00208164642826915 -0.00131077977029508 0.00108163310137445 0.00182672431898884 -0.000538829769978915 -0.00129115368695886 0.00242370065526507 -0.00745148054778362 -0.00585384415078787 -0.00646677096887813 0.00346446572176372 0.00366492633423877 0.00192136283155668 -0.00194707692313876 -0.00320062899354881 0.00116865426744673 0.00229586329142983 0.000806437990080548 0.000541504345872856 -0.578807015107266 -0.0591759793404538 0.00694620276141018 -0.00240919039966174 0.0132704144108092 0.00141373379429539 0.00354657681218021 -0.00425636964559146 -0.00270885543915657 -0.00287687416864905 -0.000182245967846627 0.000240278520070401 0.00123208899803445 0.00143517167915163
