"","ID","length","circ","FF","OCD.OH","round","ellip","AR"
"23","A264",53.5,14.5767274605773,0.855244160994808,0.465828948390843,0.531677837881116,0.273894608016667,1.7544210827812
"24","A265",41.5,14.6353580887829,0.85271178866919,0.46303199445271,0.518206814167192,0.3080426655207,1.89035161612241
"25","A267",65,14.903768974901,0.83990088058496,0.486388622998221,0.52111118004059,0.284282690648528,1.79439937230559
"26","A269",43.5,14.5750171492819,0.855696278254099,0.457131330775732,0.549144157611185,0.265235048054153,1.72195889951404
"27","A270",42.5,14.5196284712684,0.858616932993337,0.488969453114221,0.530904566209877,0.303842329538732,1.87291239450801
"28","A274",47,14.519081510228,0.858373599344161,0.525996214091021,0.516480696683535,0.312170366990831,1.90769676678547
"29","A275",61,14.8105245922045,0.844019558429591,0.451065032352176,0.527899457878221,0.291088990517972,1.82122857911505
"30","A276",58,14.6432031960429,0.851957478769163,0.541823355367643,0.505285703119539,0.314273885198694,1.91661635284156
"31","A277",50,14.6805187355496,0.850142222889816,0.511551201075554,0.508450122885053,0.308232482727571,1.89114471272922
"32","A278",45,14.7562874946533,0.846460800782609,0.500561460767999,0.518643785032207,0.302391720726141,1.86693845159321
"33","A288",47.5,14.8187177724075,0.843337254848772,0.480144544421777,0.541655091579283,0.28205866550986,1.78574293458161
"34","A297",74,15.0147769895042,0.8357285371,0.48506706495182,0.510220139444394,0.270429809569882,1.74134007424412
"35","A298",40,14.2418032274163,0.873591061281625,0.531833863460443,0.531198689580599,0.287654506413521,1.80762638074751
"36","A350",46,14.4558291162119,0.861684748817312,0.45654652542951,0.546159800684885,0.266923998409293,1.72823008209269
"37","A351",55,14.7499039990248,0.846740347358416,0.44487421238311,0.532692870141047,0.285858327568922,1.80056475795847
"38","A352",58,14.9115392134447,0.839116708969777,0.573000425367643,0.523795443456169,0.305953625869755,1.88165182406771
"39","A354",59.5,14.8337124497985,0.842857756653764,0.42277879935991,0.554224231971731,0.249092715689954,1.66344466459352
"40","A355",59,14.3464450382138,0.866633215088054,0.454048428029154,0.546952175282159,0.264012318968107,1.71743678806675
"41","A357",48,14.0783559720146,0.881438800908876,0.339288132752532,0.56665060325253,0.292496901456978,1.82684274333024
"42","A359",53.5,14.666225844985,0.850817109168976,0.463333435390843,0.562755236124894,0.259016577962111,1.69911571638067
"43","A362",52,15.210889400081,0.824800212543539,0.444569238398577,0.516172181106367,0.283315039745406,1.79062644106487
"44","A363",48,14.3354861130858,0.867793593068295,0.382355791752532,0.554128510931361,0.269614641546009,1.73828052116681
"45","A365",54,14.3434376161039,0.866995262068491,0.425369031721599,0.586666817835727,0.220919909786451,1.56713016430928
"46","A366",44.5,14.4634393093917,0.861392536984287,0.516204601437243,0.518732790038723,0.324939627870403,1.96269797868692
"47","A367",45,14.9621236836097,0.836314960610321,0.477803204767999,0.506332743738492,0.312354614926435,1.90847585603448
"48","A368",50,14.4761121113464,0.86041969945309,0.474828977075554,0.555286315516255,0.250937866499587,1.67000547825569
"49","A369",52,14.4958940102634,0.859334584330777,0.462676674398577,0.546854012030813,0.252382166810341,1.6751635811938
"50","A370",51,14.6568466555305,0.851302708841537,0.423281162737065,0.560894172003872,0.247296482860005,1.65708868692322
"51","A371",50,15.1338761592365,0.82826379606045,0.459008083075554,0.520879940331698,0.261076377223948,1.70663968284872
"52","A372",48,14.4151112078033,0.863659334945434,0.461360094752532,0.55245771550301,0.258496465211179,1.69722247591118
"53","A373",53,14.472643964147,0.860472951228333,0.443955717060088,0.538832280293123,0.29519026020371,1.83764523540503
"54","A392",47,14.4402218500352,0.862426466640294,0.402782457091021,0.549840645193772,0.258426206512274,1.69696693378783
"55","A401",60,14.5851625430162,0.854800956150012,0.543840750690665,0.524373994662176,0.315505794552244,1.92186549437875
"56","A405",58,14.3022532270356,0.868905018194457,0.525601954367643,0.5505888645937,0.265024968010954,1.72118087411411
"57","A407",58,14.7823488813767,0.845245829709413,0.495673767367643,0.510738948204458,0.308558303829712,1.89250707771526
"58","A416",50,14.3053363807648,0.869213580278206,0.463233115075554,0.575454936053899,0.253038931341485,1.67751571523245
"59","A420",46.5,14.1597992599777,0.877232508782235,0.366892096760266,0.566902276043222,0.304581450302175,1.87596584944282
"60","A422",53,15.0020950470407,0.834613832999984,0.460018223060088,0.514256035679483,0.298645896786989,1.85162657612994
"61","A432",42,14.706940120647,0.849038159551378,0.486940754783466,0.517637260389748,0.299473525195815,1.8549955953614
"62","A477",45.3,14.7400921259585,0.847263159491234,0.525072666366452,0.51201378489077,0.310627547194173,1.90118932350686
"63","A485",43.2,13.3805857952413,0.922159697009646,0.318674988177279,0.613765746909022,0.258151043909831,1.69596658939951
"64","A510",44.5,14.1147546261028,0.879907025078778,0.463955779437243,0.555584356577578,0.269376590780646,1.73738833818223
"65","A511",51.2,13.6434692285993,0.904977771987773,0.334521962469368,0.593296283172012,0.281712330893258,1.7843997412446
"66","A515",55.4,13.6711906509928,0.902696136578974,0.334832555847714,0.604825628397584,0.254336987419301,1.68217675579496
"67","A522",47.5,14.854504198735,0.841581959968691,0.412295850421777,0.535346167341245,0.272809975530114,1.75031275553866
"68","A527",72.5,14.2050775785617,0.873434181807214,0.434423390959554,0.544110242441071,0.277375944257323,1.76769086789465
"69","A532",46.5,14.4790907672149,0.860453181612494,0.465725948760266,0.548920496267622,0.273341227929721,1.75232347956376
"70","A542",51.2,14.7592676181465,0.846252626024518,0.507755099469368,0.542052252845902,0.278566191635504,1.77225710357827
"71","A544",40.7,14.6188353775521,0.853606647100462,0.478340828523501,0.524162832147204,0.289319092587312,1.8142025192167
"72","A554",50.5,14.5817510864449,0.855060641442453,0.40150818740631,0.548959929655712,0.272346549033864,1.7485611417695
"73","A555",52.5,15.7181109414956,0.802131651523215,0.482203275729332,0.465346396745406,0.334737844059587,2.00633364176985
"74","A556",49,15.0177794568167,0.833716200417396,0.428927851414043,0.537896026446918,0.256439234160047,1.68975999256863
"75","A560",55.5,13.7949957200877,0.895856378194945,0.337426173713865,0.592930993888155,0.255479037401398,1.68629105219469
"76","A562",44.5,13.6424466345871,0.906382681624202,0.311987841437243,0.608076907614946,0.273783533501191,1.75399979518817
"77","A563",39.5,14.0250867855077,0.885589980948388,0.462055151129688,0.582673069681654,0.257473467233961,1.69350644286024
"78","A564",76,13.4301774368188,0.913033034669506,0.409990500274843,0.563639447162287,0.297088753555238,1.84530943289889
"79","A565",52,14.0042239039419,0.88495710804539,0.348591635398577,0.583158655838899,0.278189426381387,1.77081006166689
"80","A568",44.5,13.6823082127142,0.904082817513278,0.315597147437243,0.586529037011085,0.28900003450938,1.81293965833024
"81","A569",56.5,13.9260477704022,0.888640383300229,0.375526139375376,0.547409781540281,0.312557848037974,1.90933570816367
"82","A570",48,14.9566094195293,0.83662598640213,0.435928772752532,0.537525266244158,0.263029723735487,1.71381365628125
"83","A572",45.5,15.0835179899156,0.830466428180257,0.464770616098754,0.510699111884153,0.30869763730547,1.89309006872837
"84","A573",39,14.0143522059366,0.886275650836877,0.544120611798932,0.557530195654959,0.286408342846563,1.80272335018339
"85","A574",56,14.5718163590462,0.855455569246264,0.403144899044621,0.566139426357005,0.236475032432066,1.6194297304653
"86","A575",56,13.9331450418496,0.88831591708782,0.332908317044621,0.592263011275308,0.266546160870313,1.72682463885279
"87","A577",50,14.6638328113751,0.850971275776602,0.524928919075554,0.527639835209298,0.317829019545737,1.93181630017182
"88","A58",59,13.6401046396869,0.903856492642704,0.334146468029154,0.597608085291869,0.271285599062605,1.74455945625236
"89","A581",45.5,15.8690992197768,0.794607168860017,0.462134147098754,0.499315013937927,0.318601219144061,1.93513880005435
"90","A583",50,13.7920517536501,0.896848017467352,0.263341899075554,0.605280115789451,0.253733533575182,1.68000786579828
"91","A586",54.5,14.5485420886471,0.856629086922488,0.422821317052354,0.553956049344601,0.262628680921515,1.71233766252186
"92","A588",49.5,14.4001824011254,0.864335718802956,0.487777548744799,0.541405116939234,0.289426267108489,1.81462698017484
"93","A59",55.5,13.6576435365765,0.903433544132453,0.347055869713865,0.593402868336478,0.281068669933127,1.78190686141605
"94","A590",41.5,14.5452222871097,0.857358908764295,0.40037035645271,0.563101720372152,0.238717216812585,1.62714466183801
"95","A595",45,14.4661154793491,0.861219143083395,0.470528992767999,0.570601186035171,0.246287211966171,1.65353067077089
"96","A60",54,14.6883592675114,0.849730309960017,0.487618679721599,0.548905588447664,0.281912158413184,1.7851745763867
"97","A601",41.5,15.1752636383231,0.825958713224048,0.44671512845271,0.496176649736291,0.335259392713638,2.00869238027221
"98","A604",43.5,14.0715730873139,0.882398662688652,0.421699670775732,0.584721197677595,0.225691622198652,1.5829502267288
"99","A605",47.5,15.5925624144382,0.80705207456125,0.480981411421777,0.512755583623781,0.267017261081358,1.72857721445196
"100","A608",65.5,14.6731687198525,0.850710089268432,0.564893531328976,0.557927580533981,0.247582237506178,1.65809780110876
"101","A61",47,14.5728950150893,0.855631265895869,0.452972672091021,0.5523065132889,0.252083430554762,1.67409505512558
"102","A611",45.5,14.9775187699156,0.835572933146419,0.530999763098754,0.539002903227112,0.274880473628862,1.75816596749091
"103","A613",44.5,14.5203724353486,0.858448018459351,0.517125630437243,0.538257665108228,0.273978101351477,1.75473784430327
"104","A615",38,14.6046852736514,0.854519861664874,0.455376403137421,0.558467915279647,0.284509518341278,1.79528526412175
"105","A62",42.5,15.2713055833871,0.82142932293629,0.577982718114221,0.506528598815391,0.308776893738895,1.89342179375079
"106","A624",44,14.2511822368374,0.872616346357105,0.411108103106488,0.552035239604721,0.267981479306874,1.73217130914428
"107","A63",44,13.6574350087638,0.905624009161601,0.362217645106488,0.592200295952373,0.283837566093005,1.79266253758813
"108","A632",41,14.5559884123522,0.856835213214847,0.499989912121955,0.518557761351743,0.3018627006082,1.86476600196315
"109","A634",60,13.693871226019,0.900762147475431,0.307245533690665,0.590335558850791,0.269066986255447,1.73622885051264
"110","A638",54,13.5353329774865,0.910582221543198,0.338078990721599,0.600727211536575,0.274009897978036,1.75485849521884
"111","A639",56,14.1071731800174,0.879093323360134,0.396992544044621,0.535826613818834,0.316195519270375,1.92481265677871
"112","A64",62,13.3750309262311,0.91816267746636,0.357315416013687,0.611971292936381,0.243296901697674,1.64304455008448
"113","A640",49.5,15.0630137557791,0.831582558088657,0.488741269744799,0.512046830405124,0.298826166406675,1.8523597204855
"114","A641",44.5,14.685444954873,0.850030751056198,0.449059622437243,0.547094819696065,0.265269226507987,1.72208552051583
"115","A642",51,14.6118705474782,0.853541097367691,0.500618765737065,0.530909357524501,0.294681003147392,1.83559638819418
"116","A643",47,14.5088343668571,0.858897928554235,0.430807432091021,0.55908445395172,0.246865977465187,1.65556984568115
"117","A66",49.5,14.6844191151379,0.849956078020292,0.477385721744799,0.539492474415976,0.269907395340595,1.73937852162332
"118","A67",61.5,13.6925758951352,0.900632451145395,0.353461156682932,0.592742337483164,0.283323987206567,1.79066128110591
"119","A68",49.5,14.9297898674502,0.837949787206894,0.478696528744799,0.532608720551862,0.292068922141789,1.8251337772186
"120","A70",56,15.1402064742894,0.8283481626164,0.457308871044621,0.506548638025194,0.307330626326575,1.88738043865492
"121","A71",66,13.4100728262772,0.915503842576835,0.385984305659732,0.574812781666164,0.278054988804419,1.77029409301948
"122","A85",45.5,14.2712119315503,0.871394984966436,0.456624902098754,0.547087018259275,0.281582127610458,1.78389510738056
"123","K1",50,14.6037488622484,0.853971065890856,0.523266471075554,0.5537596579835,0.28341331159265,1.79100914426013
"124","K101",51,15.3858219335349,0.816710050415245,0.447117119737065,0.521693447301769,0.279047774719612,1.77410892132578
"125","K102",52.5,14.7655528075557,0.845951969606439,0.442033684729332,0.549905205101519,0.268994455654574,1.73595736102233
"126","K104",57.8,15.1286531265441,0.829015992702993,0.590682972635341,0.506733895970184,0.311923520013162,1.90665363251227
"127","K105",51,14.8887734581635,0.839958057702182,0.477639448737065,0.542999159896157,0.295859169152675,1.84034089827358
"128","K106",61.1,14.5990000045447,0.85414130395657,0.497360272218327,0.530207843434774,0.286083119476314,1.80144657531129
"129","K107",51,15.187919872958,0.825797956176162,0.530138505737065,0.524128120860715,0.296994844387999,1.84492934942831
"130","K108",43.3,14.8122711279357,0.843703127721126,0.53113140704343,0.533252418011411,0.292912664961921,1.82850491147928
"131","K109",50,14.1536096111451,0.87719033777606,0.418853752075554,0.554112461393007,0.311063026327579,1.90302317400513
"132","K110",71.7,13.7087377475344,0.898675511587807,0.373557960030345,0.578729067624109,0.294717781929536,1.83574425776914
