"ID" "Species" "TL" "OCD.OH" "FF" "round" "ellip" "AR" "circ" "logOA"
"80" "A568" "A.coronus" 44.5 0.236704047 0.850339322848198 0.586529037011085 0.28900003450938 1.81293965833024 14.7780659752019 4.88204172386004
"81" "A569" "A.coronus" 56.5 0.275358495 0.820404260860296 0.547409781540281 0.312557848037974 1.90933570816367 15.3172907722124 5.06262875018006
"82" "A570" "A.inodorus" 48 0.350830597 0.778655475302718 0.537525266244158 0.263029723735487 1.71381365628125 16.1385503768194 4.83402073655845
"83" "A572" "A.inodorus" 45.5 0.384104637 0.775515214533939 0.510699111884153 0.30869763730547 1.89309006872837 16.2038995223468 4.66858662470158
"84" "A573" "A.inodorus" 39 0.474978344 0.839174610568605 0.557530195654959 0.286408342846563 1.80272335018339 14.9746792337348 4.59982776493626
"85" "A574" "A.inodorus" 56 0.303863694 0.78782330629695 0.566139426357005 0.236475032432066 1.6194297304653 15.9507474758846 5.01422056133785
"86" "A575" "A.coronus" 56 0.233627112 0.820683654138506 0.592263011275308 0.266546160870313 1.72682463885279 15.312076158688 5.34799895518535
"87" "A577" "A.inodorus" 50 0.436284986 0.790585326714714 0.527639835209298 0.317829019545737 1.93181630017182 15.8950213085523 4.90248946898887
"88" "A58" "A.coronus" 59 0.229546627 0.832601072749677 0.597608085291869 0.271285599062605 1.74455945625236 15.092907066356 4.95723784085166
"89" "A581" "A.inodorus" 45.5 0.381468168 0.739655955213699 0.499315013937927 0.318601219144061 1.93513880005435 16.989480752208 4.98794059795764
"90" "A583" "A.coronus" 50 0.174697966 0.836462068405465 0.605280115789451 0.253733533575182 1.68000786579828 15.0232402508272 5.16189770288152
"91" "A586" "A.inodorus" 54.5 0.32619943 0.79080840244503 0.553956049344601 0.262628680921515 1.71233766252186 15.8905375505702 5.00021923885032
"92" "A588" "Hybrid" 49.5 0.400020055 0.804553629231687 0.541405116939234 0.289426267108489 1.81462698017484 15.6190590133308 4.87049876944058
"93" "A59" "A.coronus" 55.5 0.248661104 0.836405140673758 0.593402868336478 0.281068669933127 1.78190686141605 15.0242627684431 5.10620668341877
"94" "A590" "A.inodorus" 41.5 0.326795892 0.807238571042928 0.563101720372152 0.238717216812585 1.62714466183801 15.5671087397667 4.67454605918719
"95" "A595" "A.inodorus" 45 0.390749453 0.806871788927696 0.570601186035171 0.246287211966171 1.65353067077089 15.5741851268086 4.76873181558513
"96" "A60" "A.inodorus" 54 0.391883232 0.784513484973178 0.548905588447664 0.281912158413184 1.7851745763867 16.0180428444628 5.22529721358134
"97" "A601" "A.inodorus" 41.5 0.373140664 0.775838375502681 0.496176649736291 0.335259392713638 2.00869238027221 16.1971500909802 4.6640239447517
"98" "A604" "A.inodorus" 43.5 0.344579449 0.82986288700481 0.584721197677595 0.225691622198652 1.5829502267288 15.142707079858 4.59896863777753
"99" "A605" "A.inodorus" 47.5 0.396769675 0.749685422952457 0.512755583623781 0.267017261081358 1.72857721445196 16.7621914867566 4.77901170703177
"100" "A608" "A.inodorus" 65.5 0.448769979 0.771604495997359 0.557927580533981 0.247582237506178 1.65809780110876 16.2860256511546 5.21636779588298
"101" "A61" "A.inodorus" 47 0.369647375 0.798868473777695 0.5523065132889 0.252083430554762 1.67409505512558 15.7302122024358 4.90707107080552
"102" "A611" "A.inodorus" 45.5 0.450333784 0.780621719500102 0.539002903227112 0.274880473628862 1.75816596749091 16.0979003023468 4.83965006325996
"103" "A613" "Hybrid" 44.5 0.43823253 0.804704523794271 0.538257665108228 0.273978101351477 1.75473784430327 15.6161301978363 4.27285482636967
"104" "A615" "A.inodorus" 38 0.388007014 0.808626540377839 0.558467915279647 0.284509518341278 1.79528526412175 15.540388531506 4.40582337682385
"105" "A62" "A.inodorus" 42.5 0.502635375 0.770101266233685 0.506528598815391 0.308776893738895 1.89342179375079 16.3178158059877 4.21117101368286
"106" "A624" "A.inodorus" 44 0.333101442 0.819476711182645 0.552035239604721 0.267981479306874 1.73217130914428 15.3346281143533 4.70979791862601
"107" "A63" "A.coronus" 44 0.284210984 0.85248437398714 0.592200295952373 0.283837566093005 1.79266253758813 14.7408808862797 4.83204429092602
"108" "A632" "A.inodorus" 41 0.427301887 0.807318734984099 0.518557761351743 0.3018627006082 1.86476600196315 15.5655629800375 4.55495625456291
"109" "A634" "A.coronus" 60 0.200872814 0.828299008601166 0.590335558850791 0.269066986255447 1.73622885051264 15.1712974226316 5.33266759292084
"110" "A638" "A.coronus" 54 0.242343543 0.845365396556359 0.600727211536575 0.274009897978036 1.75485849521884 14.8650165544378 5.01365275431402
"111" "A639" "A.coronus" 56 0.297711339 0.81146106041082 0.535826613818834 0.316195519270375 1.92481265677871 15.4861042968558 4.86055650806798
"112" "A64" "A.coronus" 62 0.247396939 0.843284100629619 0.611971292936381 0.243296901697674 1.64304455008448 14.9017046627308 5.02786742900251
"113" "A640" "A.inodorus" 49.5 0.400983776 0.771800468517388 0.512046830405124 0.298826166406675 1.8523597204855 16.2818903679845 4.82399264682343
"114" "A641" "A.inodorus" 44.5 0.370166522 0.796287256391118 0.547094819696065 0.265269226507987 1.72208552051583 15.7812027173607 4.48882524009726
