"CAP1" "CAP2" "ID2" "ID" "Lat" "TL" "Sex" "SpeciesExt" "mtDNA" "Species"
"K106" -0.106470520546998 0.5162636123403 "K106" "K106" 20.82 61.1 "M" "A.inodorus" "AI" "A.inodorus"
"K107" -0.196786946664948 -2.23410113806405 "K107" "K107" 20.82 51 "M" "A.inodorus" "AI" "A.inodorus"
"K108" -0.105150636007633 -0.22466824662353 "K108" "K108" 20.82 43.3 "J" "A.inodorus" "AI" "A.inodorus"
"K109" 0.310294611358211 0.801991790784967 "K109" "K109" 20.82 50 "F" "A.coronus" "AC" "A.coronus"
"K110" 0.418940933137492 0.472465163089389 "K110" "K110" 19.99 71.7 "F" "A.coronus" "AC" "A.coronus"
"K111" -0.275765663708459 0.27210472032956 "K111" "K111" 20.82 58.3 "M" "A.inodorus" "AI" "A.inodorus"
"K112" -0.12822578992072 0.435820811453388 "K112" "K112" 20.82 43.2 "M" "A.inodorus" "AI" "A.inodorus"
"K116" 0.164611538984276 0.138300092257576 "K116" "K116" 20.82 55 "F" "A.inodorus" "AI" "A.inodorus"
"K117" 0.0873568687896073 -0.447741547616618 "K117" "K117" 20.82 58 "M" "A.inodorus" "AI" "A.inodorus"
"K118" -0.229196531524948 1.29397672032882 "K118" "K118" 20.82 57 "M" "A.inodorus" "AI" "A.inodorus"
"K119" 0.149646422146643 -1.03476966568706 "K119" "K119" 20.82 53.2 "F" "A.inodorus" "AI" "A.inodorus"
"K12" -0.368980850475485 0.516010276751908 "K12" "K12" 20.82 68.5 "F" "A.inodorus" "AI" "A.inodorus"
"K13" -0.305796157691647 1.74616846574991 "K13" "K13" 20.82 62 "M" "A.inodorus" "AI" "A.inodorus"
"K14" 0.0512164270965915 0.743472994630183 "K14" "K14" 20.82 43.5 "M" "A.inodorus" "AI" "A.inodorus"
"K16" 0.215575557214982 1.08884352645599 "K16" "K16" 20.82 68 "M" "A.coronus" "AC" "A.coronus"
"K17" 0.016305386134567 -1.0658404780717 "K17" "K17" 20.82 51 "M" "A.inodorus" "AI" "A.inodorus"
"K18" -0.195875153345713 -0.787635687502922 "K18" "K18" 20.82 49 "F" "A.inodorus" "AI" "A.inodorus"
"K19" -0.674291228605702 0.171604410039688 "K19" "K19" 20.82 58.5 "F" "A.inodorus" "AI" "A.inodorus"
"K2" -0.0142909446533716 1.79270770121203 "K2" "K2" 22.66 46 "U" "A.inodorus" "AI" "A.inodorus"
"K20" -0.298810320995546 -0.0315063770207517 "K20" "K20" 20.82 47.5 "M" "A.inodorus" "AI" "A.inodorus"
"K21" -0.0694006817672628 -2.30921983209431 "K21" "K21" 20.82 71 "M" "A.coronus" "AC" "A.coronus"
"K22" -0.0899416443490344 -0.873404581692417 "K22" "K22" 20.82 66.5 "F" "A.inodorus" "AI" "A.inodorus"
"K23" 0.183113980570956 -3.29008069788366 "K23" "K23" 20.82 55 "F" "A.inodorus" "AI" "A.inodorus"
"K24" 0.259564598207888 -0.0330964195136833 "K24" "K24" 22.66 44.3 "F" "A.inodorus" "AI" "A.inodorus"
"K25" 0.267528307272212 -0.368051152595111 "K25" "K25" 22.66 40.6 "F" "A.inodorus" "AI" "A.inodorus"
"K26" -0.1874024554379 -0.384122896301575 "K26" "K26" 22.66 52.3 "F" "A.inodorus" "AI" "A.inodorus"
"K27" 0.153894614963081 1.28418599896679 "K27" "K27" 22.66 39.3 "M" "A.inodorus" "AI" "A.inodorus"
"K28" 0.243412691897977 0.145239964876881 "K28" "K28" 22.66 40.5 "F" "A.inodorus" "AI" "A.inodorus"
"K29" 0.0968643762153955 0.447656603645495 "K29" "K29" 22.66 40.1 "M" "A.inodorus" "AI" "A.inodorus"
"K3" 0.0101269099022921 1.15455976327451 "K3" "K3" 22.7 42 "U" "A.inodorus" "AI" "A.inodorus"
"K31" -0.510488909923737 1.09613224516449 "K31" "K31" NA 69.5 "M" "A.inodorus" "AI" "A.inodorus"
"K32" -0.680708264495165 2.2902021088458 "K32" "K32" NA 73 "M" "A.inodorus" "AI" "A.inodorus"
"K33" -0.470258288451241 -0.311503917435394 "K33" "K33" NA 62.5 "F" "A.inodorus" "AI" "A.inodorus"
